Strategy,AUPRC,Brier_Score
cw_none__sw_none,0.1496874681366661,0.004907173236418454
cw_balanced__sw_none,0.22867185563808407,0.05260279077718748
cw_none__sw_dweight,0.12002440927409982,0.006100603148655071
