Model,Feature_Set,n_features,AUPRC,ROC_AUC,Brier,AUPRC_change,AUPRC_drop
LightGBM,Full,84,0.21625264669668567,0.9457485817583258,0.04653108232018207,0.0,0.0
LightGBM,No Fire History,80,0.14838210281266434,0.9398031118034939,0.04841435209738309,-0.06787054388402133,0.06787054388402133
LightGBM,No Drought,78,0.22388655740944577,0.9461627458857111,0.046872989150760706,0.007633910712760095,-0.007633910712760095
LightGBM,No Vegetation,80,0.2140381185667824,0.9469365734889235,0.045979865686289485,-0.002214528129903276,0.002214528129903276
